Fondsposition per,"19.Juli2024"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"JLL","JONES LANG LASALLE INC","Immobilien","Aktien","5.823.459,36","0,15","5.823.459,36","25.236,00","230,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COHR","COHERENT CORP","IT","Aktien","5.794.801,22","0,14","5.794.801,22","80.461,00","72,02","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TTEK","TETRA TECH INC","Industrie","Aktien","5.782.889,38","0,14","5.782.889,38","28.631,00","201,98","Vereinigte Staaten","NASDAQ","USD"
"WING","WINGSTOP INC","Zyklische Konsumgüter ","Aktien","5.737.969,47","0,14","5.737.969,47","15.537,00","369,31","Vereinigte Staaten","NASDAQ","USD"
"MEDP","MEDPACE HOLDINGS INC","Gesundheitsversorgung","Aktien","5.729.816,00","0,14","5.729.816,00","13.600,00","421,31","Vereinigte Staaten","NASDAQ","USD"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Industrie","Aktien","5.717.244,09","0,14","5.717.244,09","28.313,00","201,93","Vereinigte Staaten","NASDAQ","USD"
"CUBE","CUBESMART REIT","Immobilien","Aktien","5.622.382,23","0,14","5.622.382,23","117.353,00","47,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TXRH","TEXAS ROADHOUSE INC","Zyklische Konsumgüter ","Aktien","5.560.484,96","0,14","5.560.484,96","32.434,00","171,44","Vereinigte Staaten","NASDAQ","USD"
"FIX","COMFORT SYSTEMS USA INC","Industrie","Aktien","5.544.590,16","0,14","5.544.590,16","18.222,00","304,28","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"REXR","REXFORD INDUSTRIAL REALTY REIT INC","Immobilien","Aktien","5.498.502,93","0,14","5.498.502,93","111.963,00","49,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SCI","SERVICE","Zyklische Konsumgüter ","Aktien","5.486.789,46","0,14","5.486.789,46","73.767,00","74,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INSM","INSMED INC","Gesundheitsversorgung","Aktien","5.475.993,57","0,14","5.475.993,57","72.081,00","75,97","Vereinigte Staaten","NASDAQ","USD"
"FTAI","FTAI AVIATION LTD","Industrie","Aktien","5.442.553,62","0,14","5.442.553,62","53.327,00","102,06","Vereinigte Staaten","NASDAQ","USD"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Immobilien","Aktien","5.441.181,90","0,14","5.441.181,90","45.381,00","119,90","Vereinigte Staaten","NASDAQ","USD"
"PFGC","PERFORMANCE FOOD GROUP","Nichtzyklische Konsumgüter","Aktien","5.368.770,10","0,13","5.368.770,10","82.217,00","65,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WWD","WOODWARD INC","Industrie","Aktien","5.326.211,80","0,13","5.326.211,80","30.170,00","176,54","Vereinigte Staaten","NASDAQ","USD"
"ATR","APTARGROUP INC","Materialien","Aktien","5.293.389,74","0,13","5.293.389,74","36.271,00","145,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OLED","UNIVERSAL DISPLAY CORP","IT","Aktien","5.287.665,04","0,13","5.287.665,04","24.149,00","218,96","Vereinigte Staaten","NASDAQ","USD"
"CACI","CACI INTERNATIONAL INC CLASS A","Industrie","Aktien","5.178.492,00","0,13","5.178.492,00","11.624,00","445,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RRX","REGAL REXNORD CORP","Industrie","Aktien","5.162.728,35","0,13","5.162.728,35","34.801,00","148,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EVR","EVERCORE INC CLASS A","Financials","Aktien","5.128.635,24","0,13","5.128.635,24","21.324,00","240,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"JEF","JEFFERIES FINANCIAL GROUP INC","Financials","Aktien","5.107.778,56","0,13","5.107.778,56","93.824,00","54,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CNM","CORE & MAIN INC CLASS A","Industrie","Aktien","5.090.588,88","0,13","5.090.588,88","98.904,00","51,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MUSA","MURPHY USA INC","Zyklische Konsumgüter ","Aktien","5.065.100,10","0,13","5.065.100,10","9.910,00","511,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ONTO","ONTO INNOVATION INC","IT","Aktien","5.064.536,07","0,13","5.064.536,07","25.707,00","197,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ESTC","ELASTIC NV","IT","Aktien","5.026.648,80","0,13","5.026.648,80","44.945,00","111,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ELF","ELF BEAUTY INC","Nichtzyklische Konsumgüter","Aktien","5.013.342,32","0,12","5.013.342,32","28.241,00","177,52","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GNRC","GENERAC HOLDINGS INC","Industrie","Aktien","4.946.022,94","0,12","4.946.022,94","31.606,00","156,49","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FND","FLOOR DECOR HOLDINGS INC CLASS A","Zyklische Konsumgüter ","Aktien","4.911.865,44","0,12","4.911.865,44","53.021,00","92,64","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CHDN","CHURCHILL DOWNS INC","Zyklische Konsumgüter ","Aktien","4.898.806,04","0,12","4.898.806,04","34.964,00","140,11","Vereinigte Staaten","NASDAQ","USD"
"RGLD","ROYAL GOLD INC","Materialien","Aktien","4.885.768,44","0,12","4.885.768,44","35.358,00","138,18","Vereinigte Staaten","NASDAQ","USD"
"WFRD","WEATHERFORD INTERNATIONAL PLC","Energie","Aktien","4.876.678,40","0,12","4.876.678,40","37.312,00","130,70","Vereinigte Staaten","NASDAQ","USD"
"TPR","TAPESTRY INC","Zyklische Konsumgüter ","Aktien","4.859.945,02","0,12","4.859.945,02","117.874,00","41,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BWXT","BWX TECHNOLOGIES INC","Industrie","Aktien","4.842.348,00","0,12","4.842.348,00","47.474,00","102,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LNW","LIGHT WONDER INC","Zyklische Konsumgüter ","Aktien","4.837.131,15","0,12","4.837.131,15","47.633,00","101,55","Vereinigte Staaten","NASDAQ","USD"
"PRI","PRIMERICA INC","Financials","Aktien","4.797.263,55","0,12","4.797.263,55","19.301,00","248,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DCI","DONALDSON INC","Industrie","Aktien","4.786.928,32","0,12","4.786.928,32","65.972,00","72,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TREX","TREX INC","Industrie","Aktien","4.783.630,20","0,12","4.783.630,20","58.948,00","81,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FHN","FIRST HORIZON CORP","Financials","Aktien","4.694.707,88","0,12","4.694.707,88","285.914,00","16,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EGP","EASTGROUP PROPERTIES REIT INC","Immobilien","Aktien","4.680.244,80","0,12","4.680.244,80","24.948,00","187,60","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KBR","KBR INC","Industrie","Aktien","4.674.251,52","0,12","4.674.251,52","69.064,00","67,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ADDT B","ADDTECH CLASS B","Industrie","Aktien","4.659.543,88","0,12","4.659.543,88","146.744,00","31,75","Schweden","Nasdaq Omx Nordic","SEK"
"TPX","TEMPUR SEALY INTERNATIONAL INC","Zyklische Konsumgüter ","Aktien","4.649.627,52","0,12","4.649.627,52","90.144,00","51,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FN","FABRINET","IT","Aktien","4.598.216,95","0,11","4.598.216,95","19.465,00","236,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"X","US STEEL CORP","Materialien","Aktien","4.581.103,66","0,11","4.581.103,66","119.987,00","38,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Immobilien","Aktien","4.554.393,48","0,11","4.554.393,48","126.828,00","35,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PNW","PINNACLE WEST CORP","Versorger","Aktien","4.551.807,15","0,11","4.551.807,15","55.395,00","82,17","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SKX","SKECHERS USA INC CLASS A","Zyklische Konsumgüter ","Aktien","4.531.819,78","0,11","4.531.819,78","71.446,00","63,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FLR","FLUOR CORP","Industrie","Aktien","4.528.540,62","0,11","4.528.540,62","94.779,00","47,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NNN","NNN REIT INC","Immobilien","Aktien","4.520.393,85","0,11","4.520.393,85","98.035,00","46,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EHC","ENCOMPASS HEALTH CORP","Gesundheitsversorgung","Aktien","4.465.437,68","0,11","4.465.437,68","52.313,00","85,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ORI","OLD REPUBLIC INTERNATIONAL CORP","Financials","Aktien","4.462.089,78","0,11","4.462.089,78","139.746,00","31,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SFM","SPROUTS FARMERS MARKET INC","Nichtzyklische Konsumgüter","Aktien","4.455.654,48","0,11","4.455.654,48","54.324,00","82,02","Vereinigte Staaten","NASDAQ","USD"
"AR","ANTERO RESOURCES CORP","Energie","Aktien","4.454.865,74","0,11","4.454.865,74","150.046,00","29,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OWL","BLUE OWL CAPITAL INC CLASS A","Financials","Aktien","4.440.578,80","0,11","4.440.578,80","230.440,00","19,27","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WBS","WEBSTER FINANCIAL CORP","Financials","Aktien","4.409.721,30","0,11","4.409.721,30","92.215,00","47,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SF","STIFEL FINANCIAL CORP","Financials","Aktien","4.398.759,54","0,11","4.398.759,54","52.857,00","83,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ZEAL","ZEALAND PHARMA","Gesundheitsversorgung","Aktien","4.376.557,54","0,11","4.376.557,54","34.706,00","126,10","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","4.359.840,92","0,11","4.359.840,92","221.762,00","19,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SNX","TD SYNNEX CORP","IT","Aktien","4.355.731,35","0,11","4.355.731,35","37.761,00","115,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CGNX","COGNEX CORP","IT","Aktien","4.353.829,83","0,11","4.353.829,83","87.479,00","49,77","Vereinigte Staaten","NASDAQ","USD"
"LNTH","LANTHEUS HOLDINGS INC","Gesundheitsversorgung","Aktien","4.336.179,12","0,11","4.336.179,12","37.128,00","116,79","Vereinigte Staaten","NASDAQ","USD"
"GMED","GLOBUS MEDICAL INC CLASS A","Gesundheitsversorgung","Aktien","4.298.824,44","0,11","4.298.824,44","59.188,00","72,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KNSL","KINSALE CAPITAL GROUP INC","Financials","Aktien","4.286.014,11","0,11","4.286.014,11","11.571,00","370,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RRC","RANGE RESOURCES CORP","Energie","Aktien","4.285.799,70","0,11","4.285.799,70","130.585,00","32,82","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RBC","RBC BEARINGS INC","Industrie","Aktien","4.258.405,97","0,11","4.258.405,97","14.833,00","287,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WAL","WESTERN ALLIANCE","Financials","Aktien","4.258.420,32","0,11","4.258.420,32","55.506,00","76,72","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CROX","CROCS INC","Zyklische Konsumgüter ","Aktien","4.251.174,00","0,11","4.251.174,00","31.844,00","133,50","Vereinigte Staaten","NASDAQ","USD"
"AYI","ACUITY BRANDS INC","Industrie","Aktien","4.239.058,23","0,11","4.239.058,23","16.661,00","254,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MKS","MARKS AND SPENCER GROUP PLC","Nichtzyklische Konsumgüter","Aktien","4.237.991,55","0,11","4.237.991,55","1.025.975,00","4,13","Vereinigtes Königreich","London Stock Exchange","GBP"
"ALV","AUTOLIV INC","Zyklische Konsumgüter ","Aktien","4.233.561,00","0,11","4.233.561,00","43.350,00","97,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MORN","MORNINGSTAR INC","Financials","Aktien","4.233.341,84","0,11","4.233.341,84","13.858,00","305,48","Vereinigte Staaten","NASDAQ","USD"
"WCC","WESCO INTERNATIONAL INC","Industrie","Aktien","4.228.205,76","0,11","4.228.205,76","24.954,00","169,44","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HRB","H&R BLOCK INC","Zyklische Konsumgüter ","Aktien","4.220.631,25","0,11","4.220.631,25","75.625,00","55,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UNM","UNUM","Financials","Aktien","4.209.726,15","0,10","4.209.726,15","78.613,00","53,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ANF","ABERCROMBIE AND FITCH CLASS A","Zyklische Konsumgüter ","Aktien","4.194.174,60","0,10","4.194.174,60","26.460,00","158,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WSC","WILLSCOT MOBILE MINI HOLDINGS CORP","Industrie","Aktien","4.193.682,60","0,10","4.193.682,60","102.260,00","41,01","Vereinigte Staaten","NASDAQ","USD"
"MKSI","MKS INSTRUMENTS INC","IT","Aktien","4.184.769,40","0,10","4.184.769,40","33.398,00","125,30","Vereinigte Staaten","NASDAQ","USD"
"FCN","FTI CONSULTING INC","Industrie","Aktien","4.184.026,28","0,10","4.184.026,28","18.466,00","226,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GL","GLOBE LIFE INC","Financials","Aktien","4.143.718,74","0,10","4.143.718,74","46.949,00","88,26","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HLI","HOULIHAN LOKEY INC CLASS A","Financials","Aktien","4.125.602,92","0,10","4.125.602,92","28.654,00","143,98","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EXP","EAGLE MATERIALS INC","Materialien","Aktien","4.116.717,60","0,10","4.116.717,60","17.905,00","229,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INGR","INGREDION INC","Nichtzyklische Konsumgüter","Aktien","4.105.701,79","0,10","4.105.701,79","34.493,00","119,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GPK","GRAPHIC PACKAGING HOLDING","Materialien","Aktien","4.100.778,33","0,10","4.100.778,33","147.351,00","27,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GNTX","GENTEX CORP","Zyklische Konsumgüter ","Aktien","4.097.427,04","0,10","4.097.427,04","122.972,00","33,32","Vereinigte Staaten","NASDAQ","USD"
"WEX","WEX INC","Financials","Aktien","4.081.430,78","0,10","4.081.430,78","22.106,00","184,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PCVX","VAXCYTE INC","Gesundheitsversorgung","Aktien","4.074.561,45","0,10","4.074.561,45","49.915,00","81,63","Vereinigte Staaten","NASDAQ","USD"
"NYT","NEW YORK TIMES CLASS A","Kommunikation","Aktien","4.069.969,54","0,10","4.069.969,54","77.686,00","52,39","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TKO","TKO GROUP HOLDINGS INC CLASS A","Kommunikation","Aktien","4.041.401,22","0,10","4.041.401,22","38.733,00","104,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ICG","INTERMEDIATE CAPITAL GROUP PLC","Financials","Aktien","4.037.876,66","0,10","4.037.876,66","149.576,00","27,00","Vereinigtes Königreich","London Stock Exchange","GBP"
"OGE","OGE ENERGY CORP","Versorger","Aktien","4.033.656,00","0,10","4.033.656,00","108.900,00","37,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PR","PERMIAN RESOURCES CORP CLASS A","Energie","Aktien","4.013.441,33","0,10","4.013.441,33","249.437,00","16,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ARMK","ARAMARK","Zyklische Konsumgüter ","Aktien","3.999.494,07","0,10","3.999.494,07","122.421,00","32,67","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CHE","CHEMED CORP","Gesundheitsversorgung","Aktien","3.997.566,00","0,10","3.997.566,00","7.362,00","543,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SOFI","SOFI TECHNOLOGIES INC","Financials","Aktien","3.984.229,08","0,10","3.984.229,08","533.364,00","7,47","Vereinigte Staaten","NASDAQ","USD"
"AXTA","AXALTA COATING SYSTEMS LTD","Materialien","Aktien","3.979.463,84","0,10","3.979.463,84","114.484,00","34,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SMDS","SMITH (DS) PLC","Materialien","Aktien","3.977.617,47","0,10","3.977.617,47","688.307,00","5,78","Vereinigtes Königreich","London Stock Exchange","GBP"
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Immobilien","Aktien","3.975.507,00","0,10","3.975.507,00","36.306,00","109,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CBSH","COMMERCE BANCSHARES INC","Financials","Aktien","3.963.446,09","0,10","3.963.446,09","62.683,00","63,23","Vereinigte Staaten","NASDAQ","USD"
"SSD","SIMPSON MANUFACTURING INC","Industrie","Aktien","3.946.647,45","0,10","3.946.647,45","21.765,00","181,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ENSG","ENSIGN GROUP INC","Gesundheitsversorgung","Aktien","3.936.216,32","0,10","3.936.216,32","29.056,00","135,47","Vereinigte Staaten","NASDAQ","USD"
"CR","CRANE","Industrie","Aktien","3.928.873,82","0,10","3.928.873,82","26.038,00","150,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FR","FIRST INDUSTRIAL REALTY TRUST INC","Immobilien","Aktien","3.925.647,60","0,10","3.925.647,60","73.514,00","53,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SWN","SOUTHWESTERN ENERGY","Energie","Aktien","3.923.858,72","0,10","3.923.858,72","587.404,00","6,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COLD","AMERICOLD REALTY INC TRUST","Immobilien","Aktien","3.907.578,00","0,10","3.907.578,00","137.108,00","28,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MTDR","MATADOR RESOURCES","Energie","Aktien","3.906.186,62","0,10","3.906.186,62","60.977,00","64,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Industrie","Aktien","3.897.088,72","0,10","3.897.088,72","19.124,00","203,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ZION","ZIONS BANCORPORATION","Financials","Aktien","3.888.669,14","0,10","3.888.669,14","79.393,00","48,98","Vereinigte Staaten","NASDAQ","USD"
"SPSC","SPS COMMERCE INC","IT","Aktien","3.887.457,28","0,10","3.887.457,28","19.222,00","202,24","Vereinigte Staaten","NASDAQ","USD"
"STAG","STAG INDUSTRIAL REIT INC","Immobilien","Aktien","3.877.952,06","0,10","3.877.952,06","99.079,00","39,14","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HAS","HASBRO INC","Zyklische Konsumgüter ","Aktien","3.871.108,00","0,10","3.871.108,00","65.612,00","59,00","Vereinigte Staaten","NASDAQ","USD"
"ALSN","ALLISON TRANSMISSION HOLDINGS INC","Industrie","Aktien","3.867.151,57","0,10","3.867.151,57","46.043,00","83,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BPOP","POPULAR INC","Financials","Aktien","3.866.736,54","0,10","3.866.736,54","39.054,00","99,01","Vereinigte Staaten","NASDAQ","USD"
"APG","API GROUP CORP","Industrie","Aktien","3.842.527,68","0,10","3.842.527,68","104.644,00","36,72","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PNFP","PINNACLE FINANCIAL PARTNERS INC","Financials","Aktien","3.834.190,92","0,10","3.834.190,92","41.188,00","93,09","Vereinigte Staaten","NASDAQ","USD"
"UFPI","UFP INDUSTRIES INC","Industrie","Aktien","3.817.242,24","0,10","3.817.242,24","31.584,00","120,86","Vereinigte Staaten","NASDAQ","USD"
"LBRDK","LIBERTY BROADBAND CORP SERIES C","Kommunikation","Aktien","3.813.759,07","0,10","3.813.759,07","67.061,00","56,87","Vereinigte Staaten","NASDAQ","USD"
"ADC","AGREE REALTY REIT CORP","Immobilien","Aktien","3.811.428,80","0,09","3.811.428,80","57.160,00","66,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ATI","ATI INC","Materialien","Aktien","3.807.311,20","0,09","3.807.311,20","65.060,00","58,52","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ATRL","ATKINSREALIS GROUP INC","Industrie","Aktien","3.800.747,95","0,09","3.800.747,95","92.194,00","41,23","Kanada","Toronto Stock Exchange","CAD"
"DPLM","DIPLOMA PLC","Industrie","Aktien","3.799.742,13","0,09","3.799.742,13","68.894,00","55,15","Vereinigtes Königreich","London Stock Exchange","GBP"
"3099","ISETAN MITSUKOSHI HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","3.786.945,05","0,09","3.786.945,05","181.100,00","20,91","Japan","Tokyo Stock Exchange","JPY"
"BWA","BORGWARNER INC","Zyklische Konsumgüter ","Aktien","3.776.058,58","0,09","3.776.058,58","115.759,00","32,62","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOV","NOV INC","Energie","Aktien","3.773.588,28","0,09","3.773.588,28","198.924,00","18,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MSA","MSA SAFETY INC","Industrie","Aktien","3.768.922,34","0,09","3.768.922,34","19.801,00","190,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DTM","DT MIDSTREAM INC","Energie","Aktien","3.746.715,44","0,09","3.746.715,44","50.741,00","73,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HALO","HALOZYME THERAPEUTICS INC","Gesundheitsversorgung","Aktien","3.711.899,52","0,09","3.711.899,52","68.688,00","54,04","Vereinigte Staaten","NASDAQ","USD"
"VOYA","VOYA FINANCIAL INC","Financials","Aktien","3.673.687,81","0,09","3.673.687,81","51.287,00","71,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CRUS","CIRRUS LOGIC INC","IT","Aktien","3.669.408,09","0,09","3.669.408,09","27.207,00","134,87","Vereinigte Staaten","NASDAQ","USD"
"AGNC","AGNC INVESTMENT REIT CORP","Financials","Aktien","3.668.254,38","0,09","3.668.254,38","358.929,00","10,22","Vereinigte Staaten","NASDAQ","USD"
